absolute_path,relative_path,data_type,label,confidence,human_verified,bbox_left,bbox_top,bbox_right,bbox_bottom,file_height,file_width,DateTimeOriginal,DateTime,DateTimeDigitized,Latitude,Longitude,GPSLink,Altitude,Make,Model,Flash,ExifOffset,ResolutionUnit,YCbCrPositioning,XResolution,YResolution,ExifVersion,ComponentsConfiguration,FlashPixVersion,ColorSpace,ExifImageWidth,ISOSpeedRatings,ExifImageHeight,ExposureMode,WhiteBalance,SceneCaptureType,ExposureTime,Software,Sharpness,Saturation,ReferenceBlackWhite
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2023-12-31 23-16-52 M 3_3.JPG,img,rabbit,0.9996,FALSE,0,744,245,1119,1152,2048,2023-12-31 23:16:52,2023-12-31 23:16:52,2023-12-31 23:16:52,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-02 07-37-36 M 1_3.JPG,img,unidentified animal,0.366,FALSE,309,896,575,1110,1152,2048,2024-01-02 07:37:36,2024-01-02 07:37:36,2024-01-02 07:37:36,,,,,RECONYX,HYPERFIRE 2 COVERT,24,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,0,0.0022916666666666667,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-02 07-37-36 M 1_3.JPG,img,coyote,0.74043,FALSE,1525,51,2048,979,1152,2048,2024-01-02 07:37:36,2024-01-02 07:37:36,2024-01-02 07:37:36,,,,,RECONYX,HYPERFIRE 2 COVERT,24,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,0,0.0022916666666666667,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-02 07-37-36 M 2_3.JPG,img,unidentified animal,0.616,FALSE,313,899,569,1116,1152,2048,2024-01-02 07:37:36,2024-01-02 07:37:36,2024-01-02 07:37:36,,,,,RECONYX,HYPERFIRE 2 COVERT,24,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,0,0.0014583333333333334,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-02 07-37-37 M 3_3.JPG,img,unidentified animal,0.565,FALSE,306,896,564,1112,1152,2048,2024-01-02 07:37:37,2024-01-02 07:37:37,2024-01-02 07:37:37,,,,,RECONYX,HYPERFIRE 2 COVERT,24,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,0,0.0014583333333333334,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-02 16-52-03 M 1_3.JPG,img,bird,0.99953,FALSE,749,640,1035,885,1152,2048,2024-01-02 16:52:03,2024-01-02 16:52:03,2024-01-02 16:52:03,,,,,RECONYX,HYPERFIRE 2 COVERT,24,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,0,0.0025,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-02 M 1_3.JPG,img,rabbit,0.99868,FALSE,568,31,2047,1116,1152,2048,2024-01-04 06:14:02,2024-01-04 06:14:02,2024-01-04 06:14:02,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.00020833333333333335,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-03 M 2_3.JPG,img,rabbit,0.99897,FALSE,570,31,2048,1116,1152,2048,2024-01-04 06:14:03,2024-01-04 06:14:03,2024-01-04 06:14:03,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.00020833333333333335,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-04 M 3_3.JPG,img,raccoon,0.99954,FALSE,1014,224,2048,1117,1152,2048,2024-01-04 06:14:04,2024-01-04 06:14:04,2024-01-04 06:14:04,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.0010416666666666667,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-06 M 1_3.JPG,img,raccoon,0.9977,FALSE,990,77,2048,1116,1152,2048,2024-01-04 06:14:06,2024-01-04 06:14:06,2024-01-04 06:14:06,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.000625,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-09 M 3_3.JPG,img,raccoon,0.99952,FALSE,1001,383,2047,1118,1152,2048,2024-01-04 06:14:09,2024-01-04 06:14:09,2024-01-04 06:14:09,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.0009375,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-10 M 1_3.JPG,img,rabbit,0.54469,FALSE,1047,31,2048,1115,1152,2048,2024-01-04 06:14:10,2024-01-04 06:14:10,2024-01-04 06:14:10,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.00125,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-04 06-14-11 M 2_3.JPG,img,raccoon,0.99974,FALSE,963,464,2048,1117,1152,2048,2024-01-04 06:14:11,2024-01-04 06:14:11,2024-01-04 06:14:11,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,3,0.0010416666666666667,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 04-06-33 M 1_3.JPG,img,rabbit,0.99987,FALSE,0,676,330,1119,1152,2048,2024-01-05 04:06:33,2024-01-05 04:06:33,2024-01-05 04:06:33,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 04-06-34 M 2_3.JPG,img,rabbit,0.99993,FALSE,0,676,324,1119,1152,2048,2024-01-05 04:06:34,2024-01-05 04:06:34,2024-01-05 04:06:34,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 04-06-34 M 3_3.JPG,img,rabbit,0.99993,FALSE,0,676,323,1119,1152,2048,2024-01-05 04:06:34,2024-01-05 04:06:34,2024-01-05 04:06:34,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 04-06-36 M 1_3.JPG,img,rabbit,0.99998,FALSE,1245,521,2048,1035,1152,2048,2024-01-05 04:06:36,2024-01-05 04:06:36,2024-01-05 04:06:36,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.0084375,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 05-46-39 M 1_3.JPG,img,rabbit,0.87172,FALSE,0,861,132,1119,1152,2048,2024-01-05 05:46:39,2024-01-05 05:46:39,2024-01-05 05:46:39,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 05-46-40 M 2_3.JPG,img,unidentified animal,0.796,FALSE,0,864,126,1118,1152,2048,2024-01-05 05:46:40,2024-01-05 05:46:40,2024-01-05 05:46:40,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 05-46-41 M 3_3.JPG,img,rabbit,0.99949,FALSE,0,827,174,1118,1152,2048,2024-01-05 05:46:41,2024-01-05 05:46:41,2024-01-05 05:46:41,,,,,RECONYX,HYPERFIRE 2 COVERT,25,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,200,1152,0,1,3,0.016666666666666666,,,,
C:/Claire RStudio/Final_project_repository/2024-01 and 2024-01 11West/11 west,2024-01-05 15-19-59 M 1_3.JPG,img,person,0.963,FALSE,2,31,1269,1118,1152,2048,2024-01-05 15:19:59,2024-01-05 15:19:59,2024-01-05 15:19:59,,,,,RECONYX,HYPERFIRE 2 COVERT,24,300,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2048,100,1152,0,1,0,0.0015625,,,,
