absolute_path,relative_path,data_type,label,confidence,human_verified,bbox_left,bbox_top,bbox_right,bbox_bottom,file_height,file_width,DateTimeOriginal,DateTime,DateTimeDigitized,Latitude,Longitude,GPSLink,Altitude,Make,Model,Flash,ExifOffset,ResolutionUnit,YCbCrPositioning,XResolution,YResolution,ExifVersion,ComponentsConfiguration,FlashPixVersion,ColorSpace,ExifImageWidth,ISOSpeedRatings,ExifImageHeight,ExposureMode,WhiteBalance,SceneCaptureType,ExposureTime,Software,Sharpness,Saturation,ReferenceBlackWhite
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-13 03-25-14.JPG,img,fox,0.8132,FALSE,0,827,384,1231,1296,2304,2023-12-13 03:25:14,2023-12-13 03:25:14,2023-12-13 03:25:14,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,13,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,200,1296,0,288,0,0.008333333333333333,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-14 16-18-18.JPG,img,bird,0.5428,FALSE,1140,554,1673,1229,1296,2304,2023-12-14 16:18:18,2023-12-14 16:18:18,2023-12-14 16:18:18,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-15 11-14-58.JPG,img,bird,0.99742,FALSE,540,726,1321,1230,1296,2304,2023-12-15 11:14:57,2023-12-15 11:14:57,2023-12-15 11:14:57,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-15 11-19-54.JPG,img,bird,0.84761,FALSE,720,677,977,1172,1296,2304,2023-12-15 11:19:53,2023-12-15 11:19:53,2023-12-15 11:19:53,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-15 11-20-10.JPG,img,unidentified animal,0.324,FALSE,2019,875,2304,1210,1296,2304,2023-12-15 11:20:09,2023-12-15 11:20:09,2023-12-15 11:20:09,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-24 16-11-10.JPG,img,bird,0.76434,FALSE,1,845,683,1159,1296,2304,2023-12-24 16:11:09,2023-12-24 16:11:09,2023-12-24 16:11:09,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-26 09-52-46.JPG,img,cow,0.90404,FALSE,1786,947,2151,1147,1296,2304,2023-12-26 09:52:46,2023-12-26 09:52:46,2023-12-26 09:52:46,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-27 09-07-02.JPG,img,boar,0.51989,FALSE,1800,957,2168,1158,1296,2304,2023-12-27 09:07:01,2023-12-27 09:07:01,2023-12-27 09:07:01,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-27 09-07-12.JPG,img,unidentified animal,0.778,FALSE,1799,957,2164,1153,1296,2304,2023-12-27 09:07:11,2023-12-27 09:07:11,2023-12-27 09:07:11,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.002,BS975_ 1904180A,0,,
C:/Claire RStudio/camera_trap_images/2024-02 and 2024-01 22East/21 east,2023-12-27 09-08-40.JPG,img,unidentified animal,0.309,FALSE,1798,956,2166,1152,1296,2304,2023-12-27 09:08:40,2023-12-27 09:08:40,2023-12-27 09:08:40,0.0,0.0,"https://maps.google.com/?q=0.0,0.0",,BUSHNELL,119975C,16,247,2,2,72.0,72.0,b'0220',b'\x01\x02\x03\x00',b'0100',1,2304,100,1296,0,288,0,0.008333333333333333,BS975_ 1904180A,0,,
